trade_id,symbol,direction,entry_time,exit_time,entry_price,exit_price,exit_type,outcome,pnl_pct,pnl_r,mae_r,mfe_r,entry_bar_idx,duration_bars,duration_minutes,move_start_bar,lag_bars,lag_minutes,price_at_move_start,lag_price_pct,adx_at_entry,body_ratio,pullback_dist_atr,stoch_k_at_entry,confidence_score,ema8_above_ema13,ema8_cross_recent,macd_hist_dir,sl_mode
f2f9595c,ETH-USDT,SHORT,2026-04-08 16:46:21.811220+00:00,2026-04-09 01:16:30.536372+00:00,2214.19235,2173.4503025100594,tp2,tp,1.2404,2.3825908968985496,1.7096500188917048,4.181581699904524,15235,34,510,15223,12,180,2233.89,0.881764545255141,26.60678496549056,0.457627118618187,1.0548406048210377,45.3753310520832,,False,False,increasing,unknown
fd102ccf,ETH-USDT,LONG,2026-04-09 18:31:33.984752+00:00,2026-04-09 23:01:32.154604+00:00,2209.394145,2208.11,trailing_sl,tp,0.4604,0.7110240190773388,0.9481306406329177,0.9000193266767711,15338,18,270,15325,13,195,2188.0,0.9777945612431539,19.50793789101219,0.0,0.6707722001960621,26.315871606276314,,True,False,decreasing,unknown
c70884ca,SOL-USDT,LONG,2026-04-05 20:04:20.684936+00:00,2026-04-05 22:31:32.259511+00:00,79.847904,79.241373018427,sl,sl,-0.909,-2.305119025756961,1.4066160033729198,0.9308417267051063,14960,10,150,14959,1,15,79.767,0.10142540148182064,24.581390988094135,0.6741573026133423,0.5764021832179584,28.86852177020137,,True,False,decreasing,unknown
7a03d3bb,TRX-USDT,SHORT,2026-04-05 02:16:14.282418+00:00,2026-04-05 03:46:29.590298+00:00,0.317051395,0.3177715247930237,sl,sl,-0.3773,-5.136335220384538,3.343136234937401,-0.2945728082890321,14753,6,90,14741,12,180,0.31743,0.1192719654726952,12.906172574866156,0.7777769135815499,0.31000216627935157,41.265849887809594,,False,False,increasing,unknown
8a4b815c,XLM-USDT,SHORT,2026-04-06 16:16:36.791324+00:00,2026-04-06 19:16:33.732354+00:00,0.1605197,0.0,tp2,tp,50.372,101.93558705496844,0.3659782955062973,3.718657176213732,14905,12,180,14889,16,240,0.16192,0.8648097826087087,19.868217480580334,0.6956518714556555,1.0820292821736055,55.50235769122062,,False,False,increasing,unknown
2cbc208c,XLM-USDT,SHORT,2026-04-09 09:16:33.515792+00:00,2026-04-09 15:46:32.328661+00:00,0.155012455,0.155,trailing_sl,tp,0.2888,0.8267804386025027,1.5468014117162845,4.750881475713711,15165,26,390,15152,13,195,0.15594,0.594808900859306,29.626704593089002,0.6428566836738399,0.9115006082736445,49.16766085095887,,False,False,increasing,unknown
4e84cb9a,XRP-USDT,SHORT,2026-04-04 11:46:33.120116+00:00,2026-04-04 17:16:08.033209+00:00,1.3099447,1.3127,reversal_swap,sl,-0.3605,-1.8574969976676035,1.8704573505499347,0.9222680692772623,14831,22,330,14830,1,15,1.3123,0.17947877771851406,22.58489123591084,0.0,1.5618660310637462,65.23677774615571,,False,False,decreasing,unknown
76dc37df,XRP-USDT,LONG,2026-04-04 17:16:08.753942+00:00,2026-04-04 19:31:06.751153+00:00,1.31355645,0.0,tp2,tp,-29.9894,-148.13799971096955,0.3220712595010971,3.1752288903731665,14853,9,135,14850,3,45,1.3133,0.019527145359033406,16.508022168833996,0.0,0.7223831169541991,76.98084182676133,,True,False,decreasing,unknown
1d60dbe9,XRP-USDT,LONG,2026-04-04 20:01:13.998928+00:00,2026-04-05 01:01:05.826395+00:00,1.3174584,1.3119790518120438,sl,sl,-0.5656,-2.6388012719857477,2.1454496010587065,0.0501445370906621,14864,20,300,14850,14,210,1.3133,0.31663747810859044,20.474163745804507,0.399999920000016,1.4270373270614747,57.87551819138664,,True,False,decreasing,unknown
0d6d1eb7,XRP-USDT,LONG,2026-04-05 20:04:20.640004+00:00,2026-04-05 23:01:32.232077+00:00,1.30054995,0.0,tp2,tp,-29.8961,-90.65120530605361,0.6178309897440897,3.2291137944132844,14960,12,180,14942,18,270,1.2996,0.0730955678670257,30.47746053419304,0.06666666222221265,0.48835774929657155,8.633184617148473,,True,False,decreasing,unknown
f70c4f81,XRP-USDT,SHORT,2026-04-06 18:46:32.935353+00:00,2026-04-06 23:16:32.113923+00:00,1.3405294,0.0,tp2,tp,50.5224,138.58124404434722,0.44414414178229317,5.612552899015848,15051,18,270,15044,7,105,1.3418,0.0946936950365189,15.282546499619453,0.0,0.6297253362097096,47.704145010073944,,False,False,increasing,unknown
