trade_id,direction,entry_time,exit_time,entry_price,exit_price,net_pnl_usdt,net_pnl_pct,mfe_usdt,mfe_pct,mae_usdt,mae_pct,outcome,pnl_r,mae_r,mfe_r,duration_bars,duration_hours,adx_at_entry,ema8_above_ema13,ema8_cross_recent,body_ratio,stoch_k_at_entry,pullback_dist_atr,atr_at_entry,htf_bias,bar_in_ohlcv,risk_est_pct,mae_r_norm,mfe_r_norm,pnl_r_norm
21,Short,2026-04-03 11:30:00+00:00,2026-04-04 12:00:00+00:00,66773.5,67372.3,-0.981,-0.97,0.038,0.04,-0.945,0.93,sl,-1.043010752688172,1.0,0.04301075268817204,98,24.5,15.930728003403713,True,False,0.4419422941587343,53.75897531977015,0.8221325402715095,151.48528696703931,-1,True,0.93,1.0,0.04301075268817204,-1.043010752688172
22,Short,2026-04-05 10:00:00+00:00,2026-04-05 11:15:00+00:00,66849.8,67143.9,-0.512,-0.51,0.063,0.06,-0.477,0.47,sl,-1.0851063829787235,1.0,0.1276595744680851,5,1.2,22.5445654814516,True,False,0.8835516739436078,92.033955932943,0.17412552928154953,93.86724481234761,-1,True,0.93,1.0,0.1276595744680851,-1.0851063829787235
23,Long,2026-04-06 11:15:00+00:00,2026-04-06 18:45:00+00:00,69703.5,69062.4,-0.989,-0.99,0.846,0.85,-0.954,0.95,sl,-1.0421052631578949,1.0,0.8947368421052632,30,7.5,53.075429713088596,True,False,0.422911283375939,24.30819988449279,0.5303706151130544,207.9706259505986,1,True,0.93,1.0,0.8947368421052632,-1.0421052631578949
24,Long,2026-04-07 15:15:00+00:00,2026-04-07 17:00:00+00:00,68549.6,69761.1,1.678,1.7,1.714,1.73,-0.25,0.25,tp,6.8,1.0,6.92,7,1.8,28.127997929774278,False,False,0.8704883227172525,21.5108930001682,0.9908992639666607,191.3015396181562,1,True,0.93,1.0,6.92,6.8
25,Long,2026-04-09 14:15:00+00:00,2026-04-09 17:00:00+00:00,71872.1,72592.8,0.938,0.93,0.974,0.97,-0.268,0.27,tp,3.444444444444444,1.0,3.592592592592592,11,2.8,13.607042546331503,False,False,0.5224274406326812,0.0,2.881304852882988,122.96268278505917,1,True,0.93,1.0,3.592592592592592,3.444444444444444
26,Long,2026-04-10 12:00:00+00:00,2026-04-11 21:30:00+00:00,72664.2,71802.6,-1.274,-1.25,1.518,1.49,-1.239,1.22,sl,-1.0245901639344261,1.0,1.221311475409836,134,33.5,20.297008957540594,True,False,0.3646362098135014,81.79595482081059,0.9627098701298711,153.00875901588404,1,True,0.93,1.0,1.221311475409836,-1.0245901639344261
27,Long,2026-04-14 11:15:00+00:00,2026-04-14 14:30:00+00:00,74758.7,74170.0,-0.859,-0.86,1.132,1.13,-0.825,0.82,sl,-1.048780487804878,1.0,1.3780487804878048,13,3.2,29.050218843403037,False,False,0.3810483870963747,4.412537104130484,0.7657218979231531,162.6435287096841,1,True,0.93,1.0,1.3780487804878048,-1.048780487804878
28,Long,2026-04-14 20:45:00+00:00,2026-04-15 03:15:00+00:00,74517.7,73710.0,-1.147,-1.15,0.261,0.26,-1.112,1.12,sl,-1.0267857142857142,1.0,0.23214285714285712,26,6.5,18.747526713417134,False,False,0.34090909090754135,61.15051842765073,1.2629849506926305,188.03591478029233,1,True,0.93,1.0,0.23214285714285712,-1.0267857142857142
29,Long,2026-04-15 17:30:00+00:00,2026-04-16 06:00:00+00:00,74681.1,74404.7,-0.432,-0.44,0.902,0.92,-0.398,0.4,sl,-1.0999999999999999,1.0,2.3,50,12.5,11.253133829273734,False,False,0.5034037979217272,40.09080706194442,0.24304937335610674,270.8699806876952,1,True,0.93,1.0,2.3,-1.0999999999999999
30,Long,2026-04-16 17:30:00+00:00,2026-04-17 10:30:00+00:00,74909.4,77937.7,3.885,3.97,3.921,4.01,-0.569,0.58,tp,6.844827586206898,1.0,6.913793103448276,68,17.0,14.992305401073269,False,False,0.5993740219082588,51.25583782574616,0.4884844163154144,201.8135497011171,1,True,0.93,1.0,6.913793103448276,6.844827586206898
31,Long,2026-04-18 01:30:00+00:00,2026-04-18 04:00:00+00:00,77111.4,76794.4,-0.489,-0.48,0.055,0.05,-0.454,0.45,sl,-1.0666666666666667,1.0,0.11111111111111112,10,2.5,,,,,,,,1,False,0.93,1.0,0.11111111111111112,-1.0666666666666667
32,Long,2026-04-20 04:30:00+00:00,2026-04-21 22:15:00+00:00,74787.7,76898.0,2.785,2.75,2.822,2.79,-0.322,0.32,tp,8.59375,1.0,8.71875,167,41.8,,,,,,,,1,False,0.93,1.0,8.71875,8.59375
33,Long,2026-04-24 09:30:00+00:00,2026-04-24 09:45:00+00:00,78143.2,77938.0,-0.346,-0.33,0.039,0.04,-0.31,0.3,sl,-1.1,1.0,0.13333333333333333,1,0.2,,,,,,,,1,False,0.93,1.0,0.13333333333333333,-1.1
34,Long,2026-04-26 10:45:00+00:00,2026-04-26 20:45:00+00:00,78052.7,79021.0,1.213,1.17,1.25,1.21,-0.376,0.36,tp,3.25,1.0,3.361111111111111,40,10.0,,,,,,,,1,False,0.93,1.0,3.361111111111111,3.25
